TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000987,연인,여자,30대
g_g000988,연인,여자,30대
g_g000991,자녀,여자,~9세이하
g_g000991,배우자,여자,30대
g_g000993,연인,여자,20대
g_g000998,연인,남자,30대
g_g001002,연인,여자,30대
g_g001004,친구,남자,30대
g_g001006,배우자,남자,30대
g_g001008,배우자,여자,40대
g_g001008,자녀,남자,~9세이하
g_g001008,자녀,여자,10대
g_g001011,배우자,남자,40대
g_g001011,자녀,남자,~9세이하
g_g001011,자녀,여자,10대
g_g001014,연인,남자,30대
g_g001016,친구,여자,20대
g_g001016,친구,여자,20대
g_g001019,자녀,여자,~9세이하
g_g001019,배우자,남자,40대
g_g001022,배우자,여자,50대
g_g001026,자녀,남자,10대
g_g001026,배우자,남자,30대
g_g001026,자녀,여자,~9세이하
g_g001028,배우자,남자,30대
g_g001028,자녀,여자,~9세이하
g_g001030,부모,여자,60대
g_g001030,배우자,여자,30대
g_g001030,부모,남자,60대
g_g001033,배우자,남자,30대
g_g001034,자녀,여자,~9세이하
g_g001034,배우자,남자,40대
g_g001034,자녀,남자,~9세이하
g_g001036,배우자,남자,30대
g_g001036,친구,여자,20대
g_g001036,친구,남자,30대
g_g001036,기타,여자,~9세이하
g_g001038,자녀,여자,~9세이하
g_g001038,자녀,여자,~9세이하
g_g001040,연인,남자,30대
g_g001041,자녀,여자,~9세이하
g_g001041,배우자,여자,40대
g_g001046,자녀,남자,20대
g_g001046,배우자,남자,50대
g_g001047,친구,여자,20대
g_g001047,친구,여자,20대
g_g001050,부모,여자,70세이상
g_g001050,배우자,남자,50대
g_g001052,연인,여자,30대
g_g001056,부모,여자,70세이상
g_g001056,자녀,남자,~9세이하
g_g001056,형제/자매,여자,30대
g_g001056,친인척,남자,~9세이하
g_g001063,배우자,남자,40대
g_g001063,자녀,남자,~9세이하
g_g001063,자녀,남자,~9세이하
g_g001068,기타,여자,30대
g_g001070,자녀,남자,10대
g_g001070,부모,여자,70세이상
g_g001070,배우자,여자,40대
g_g001070,부모,남자,70세이상
g_g001076,자녀,여자,10대
g_g001076,배우자,여자,40대
g_g001076,자녀,남자,~9세이하
